stage,run_id,repeat,profile,runners,intra_threads,interop_threads,pre_workers,post_workers,slots_per_runner,total_slots,cpu_cores,pin,iterations,status,result_dir,mode,batch,workers,slots,completed,wall_s,throughput_fps,equiv_fps_avg,equiv_fps_min,equiv_fps_max,equiv_fps_p95,equiv_fps_p99,completion_fps_avg,completion_fps_min,completion_fps_max,completion_fps_p95,completion_fps_p99,latency_mean_ms,latency_median_ms,latency_min_ms,latency_max_ms,latency_p90_ms,latency_p95_ms,latency_p99_ms,latency_stddev_ms,latency_cv,latency_p99_minus_p50_ms,model_mean_ms,model_p95_ms,model_p99_ms,preprocess_mean_ms,preprocess_p95_ms,preprocess_p99_ms,postprocess_mean_ms,postprocess_p95_ms,postprocess_p99_ms,inter_completion_mean_ms,inter_completion_p95_ms,inter_completion_p99_ms
20_model_search,20_model_search__model-only__r8_i1_pre1_post1_spr1_c8_pin__rep1__n90,1,model-only,8,1,1,0,0,1,8,8,True,90,ok,/media/thifj/nvme21/Trabalhos_mes8/Projeto_Metano/resultados_cpu/hyperstarcop_cpu_sweep/runs/20_model_search__model-only__r8_i1_pre1_post1_spr1_c8_pin__rep1__n90,max_model_only_throughput,1,8,8,90,16.90408824900078,5.324155829896357,0.6773871214097004,0.5925140366428692,1.2253257441487826,0.6127806040193341,0.5930689661142912,5.324155829896357,0.8523698838790985,3980.0678131804957,1.865262729568377,0.9708296456679737,1476.2607206332987,1481.279240999811,816.1095160003242,1687.7237299995613,1613.0008412997995,1631.905437999876,1686.144541589938,126.35201404123988,0.08558922707571352,204.86530059012694,1476.2607206332987,1631.905437999876,1686.144541589938,0.0,0.0,0.0,0.0,0.0,0.0,174.63301250562213,536.1175046002236,1030.046831040018
20_model_search,20_model_search__model-only__r1_i16_pre1_post1_spr1_c16_nopin__rep1__n90,1,model-only,1,16,1,0,0,1,1,16,False,90,ok,/media/thifj/nvme21/Trabalhos_mes8/Projeto_Metano/resultados_cpu/hyperstarcop_cpu_sweep/runs/20_model_search__model-only__r1_i16_pre1_post1_spr1_c16_nopin__rep1__n90,max_model_only_throughput,1,1,1,90,18.57554013799927,4.845081183716992,4.845560607152582,4.090268880159119,5.559810107578195,4.340805957213486,4.207449602237306,4.845081183716992,4.089967857308574,5.559270970751811,4.339755583124718,4.205759125540098,206.37446955547097,207.98658849935237,179.86225799995736,244.48270500033686,225.58961170016119,230.37196544992184,237.67367277988342,14.934946225320958,0.07236818709935738,29.687084280531053,206.37446955547097,230.37196544992184,237.67367277988342,0.0,0.0,0.0,0.0,0.0,0.0,206.13581914606104,230.42772360004165,237.7692041199771
20_model_search,20_model_search__model-only__r16_i1_pre1_post1_spr1_c16_pin__rep1__n90,1,model-only,16,1,1,0,0,1,16,16,True,90,ok,/media/thifj/nvme21/Trabalhos_mes8/Projeto_Metano/resultados_cpu/hyperstarcop_cpu_sweep/runs/20_model_search__model-only__r16_i1_pre1_post1_spr1_c16_pin__rep1__n90,max_model_only_throughput,1,16,16,90,18.3754869910008,4.897829376934421,0.3179928730722594,0.24943508148531782,0.6447294434702462,0.27114693554376723,0.24971030309101777,4.897829376934421,0.7166309222506915,4061.3590048400843,1.3996535759425017,1.093238730119665,3144.724566744501,3200.3355804999956,1551.0382069996922,4009.0591669995774,3581.9390190995364,3688.0372554997393,4004.6405279301052,481.009295847528,0.15295752796101983,804.3049474301097,3144.724566744501,3688.0372554997393,4004.6405279301052,0.0,0.0,0.0,0.0,0.0,0.0,176.71518876404355,714.4625049999374,914.7132940401232
20_model_search,20_model_search__model-only__r2_i2_pre1_post1_spr1_c4_nopin__rep1__n90,1,model-only,2,2,1,0,0,1,2,4,False,90,ok,/media/thifj/nvme21/Trabalhos_mes8/Projeto_Metano/resultados_cpu/hyperstarcop_cpu_sweep/runs/20_model_search__model-only__r2_i2_pre1_post1_spr1_c4_nopin__rep1__n90,max_model_only_throughput,1,2,2,90,16.751434591999896,5.3726741734097185,2.694579595219338,2.2676068001208938,3.27963964159382,2.454743472686493,2.3272554922435456,5.3726741734097185,2.6358483627503633,294.2685029154645,2.8733381154649367,2.7088748512058265,371.1154058221837,369.0063369999734,304.91154799983633,440.9935619996759,401.76764499974524,407.3745428501297,429.6906821502307,22.801452387880857,0.06144032834574901,60.684345150257286,371.1154058221837,407.3745428501297,429.6906821502307,0.0,0.0,0.0,0.0,0.0,0.0,184.2418964719032,348.02726300040376,369.1569581204022
20_model_search,20_model_search__model-only__r4_i2_pre1_post1_spr1_c8_nopin__rep1__n90,1,model-only,4,2,1,0,0,1,4,8,False,90,ok,/media/thifj/nvme21/Trabalhos_mes8/Projeto_Metano/resultados_cpu/hyperstarcop_cpu_sweep/runs/20_model_search__model-only__r4_i2_pre1_post1_spr1_c8_nopin__rep1__n90,max_model_only_throughput,1,4,4,90,15.529179070999817,5.795541386219942,1.460061854249575,1.1845123077890922,1.9632906736979128,1.286650810606645,1.193831455573135,5.795541386219942,2.083875397080174,129.48746917335933,3.2363216909090182,2.5247531053706065,684.9024903222117,673.984817499786,509.34892799978115,844.2293030002475,757.0860399994672,777.2116503999313,837.6391787397824,57.42372343057097,0.08384218810995421,163.65436123999643,684.9024903222117,777.2116503999313,837.6391787397824,0.0,0.0,0.0,0.0,0.0,0.0,167.14450875281656,308.99276879954414,396.07833252004684
20_model_search,20_model_search__model-only__r8_i2_pre1_post1_spr1_c16_nopin__rep1__n90,1,model-only,8,2,1,0,0,1,8,16,False,90,ok,/media/thifj/nvme21/Trabalhos_mes8/Projeto_Metano/resultados_cpu/hyperstarcop_cpu_sweep/runs/20_model_search__model-only__r8_i2_pre1_post1_spr1_c16_nopin__rep1__n90,max_model_only_throughput,1,8,8,90,17.23430770899995,5.222141876519994,0.6618976978817062,0.5405359801699805,1.053873570059045,0.5829019631717828,0.5420395233799709,5.222141876519994,0.9807978629376248,3491.15690663349,1.6916007815532315,1.1909001111066806,1510.807490644452,1518.2576134998271,948.8804239999808,1850.0156079999215,1666.9058135999876,1715.5543524997483,1844.883918730402,153.17264157564497,0.10138461883737912,326.62630523057487,1510.807490644452,1715.5543524997483,1844.883918730402,0.0,0.0,0.0,0.0,0.0,0.0,177.36478240450003,591.1560286001984,839.7009880792766
30_e2e_runners,30_e2e_runners__end-to-end__r1_i1_pre2_post1_spr2_c16_pin__rep1__n90,1,end-to-end,1,1,1,2,1,2,2,16,True,90,ok,/media/thifj/nvme21/Trabalhos_mes8/Projeto_Metano/resultados_cpu/hyperstarcop_cpu_sweep/runs/30_e2e_runners__end-to-end__r1_i1_pre2_post1_spr2_c16_pin__rep1__n90,max_end_to_end_throughput,1,1,2,90,41.482349165000414,2.1695974748685405,0.5549933287897395,0.503567400884849,1.956650525018457,0.5186686256696861,0.5056422174027988,2.1695974748685405,1.9414409156241124,2.5935794524576408,1.9923700801103066,1.942562290229883,1801.8234600777557,1843.2570084996769,511.07746999969095,1985.8314859993698,1899.3423187999724,1928.0132834501726,1977.6829655095662,184.02096376431484,0.10213040724665313,134.42595700988932,460.49816776667285,501.5492623002501,514.6962968001208,14.987870833303734,19.176804550534143,29.032146259669386,0.8704731111113991,1.0377651501585206,1.660194989708543,460.29263529213455,501.91478479973733,514.7840071999235
30_e2e_runners,30_e2e_runners__end-to-end__r2_i1_pre2_post1_spr2_c16_pin__rep1__n90,1,end-to-end,2,1,1,2,1,2,4,16,True,90,ok,/media/thifj/nvme21/Trabalhos_mes8/Projeto_Metano/resultados_cpu/hyperstarcop_cpu_sweep/runs/30_e2e_runners__end-to-end__r2_i1_pre2_post1_spr2_c16_pin__rep1__n90,max_end_to_end_throughput,1,2,4,90,24.116447860000335,3.7318928775275593,0.646981614701799,0.5789031053374334,1.7408729123258009,0.6026784890715884,0.5876192182254216,3.7318928775275593,1.898263883540244,90.07102911378699,2.119339409586078,1.9582243189327568,1545.6389753222138,1565.089326999896,574.4244699999399,1727.4047949995293,1643.7423255002614,1659.2594859997007,1701.7823260102796,164.6961605235166,0.10655538787069146,136.69299901038357,532.3766855555833,572.2140518498691,584.2209094502778,18.91497845559166,24.420237549884405,27.15667170952656,0.9629636555776718,1.5474368497962128,1.9168662804077028,264.5132811123526,471.84513980009797,510.66672512013616
30_e2e_runners,30_e2e_runners__end-to-end__r4_i1_pre2_post1_spr2_c16_pin__rep1__n90,1,end-to-end,4,1,1,2,1,2,8,16,True,90,ok,/media/thifj/nvme21/Trabalhos_mes8/Projeto_Metano/resultados_cpu/hyperstarcop_cpu_sweep/runs/30_e2e_runners__end-to-end__r4_i1_pre2_post1_spr2_c16_pin__rep1__n90,max_end_to_end_throughput,1,4,8,90,17.88908545600043,5.031000618861253,0.5301142818064378,0.4238498819677618,1.337849703443551,0.45185002534296104,0.4279464195779352,5.031000618861253,1.7037163322798137,152.78831805664421,2.083107035868082,1.8395911197098114,1886.3856989333726,1919.2240830002447,747.4681180001426,2359.3258900000365,2154.1586327002733,2213.123700150254,2336.741129850452,272.62576770549606,0.14452281304912779,417.5170468502074,788.5708440000395,1094.2160437994517,1141.6244567596368,25.178475888919316,36.38501474988515,41.194813480024095,1.180732288826726,2.090114999555226,2.3064713801886683,192.60156742696515,480.05214460008557,543.5990581199078
30_e2e_runners,30_e2e_runners__end-to-end__r8_i1_pre2_post1_spr2_c16_pin__rep1__n90,1,end-to-end,8,1,1,2,1,2,16,16,True,90,ok,/media/thifj/nvme21/Trabalhos_mes8/Projeto_Metano/resultados_cpu/hyperstarcop_cpu_sweep/runs/30_e2e_runners__end-to-end__r8_i1_pre2_post1_spr2_c16_pin__rep1__n90,max_end_to_end_throughput,1,8,16,90,17.439636381000128,5.1606580569565,0.31543422296075146,0.2626440216175206,0.7991906257675603,0.26689102498063977,0.26372858349530126,5.1606580569565,1.189284040826773,202.9372323408145,1.9361678873529817,1.45917264649606,3170.2330540222547,3358.8516990002972,1251.2659280000662,3807.4348459995235,3673.0822553997314,3746.8476134502453,3791.7770866797855,557.5314025516781,0.17586448474010652,432.92538767948827,1502.965834600016,1884.852170199838,1931.1614413096777,49.291271611057,75.44029275004505,81.43036730966742,2.6920828333358156,5.871021750181169,11.570241689323664,181.88607724719435,516.484136800318,685.3198642404103
30_e2e_runners,30_e2e_runners__end-to-end__r16_i1_pre2_post1_spr2_c16_pin__rep1__n90,1,end-to-end,16,1,1,2,1,2,32,16,True,90,ok,/media/thifj/nvme21/Trabalhos_mes8/Projeto_Metano/resultados_cpu/hyperstarcop_cpu_sweep/runs/30_e2e_runners__end-to-end__r16_i1_pre2_post1_spr2_c16_pin__rep1__n90,max_end_to_end_throughput,1,16,32,90,18.70627150600012,4.811220663141348,0.1784334038051882,0.1274134169082085,0.37539205326646863,0.14017621413510947,0.13032002251628091,4.811220663141348,0.9140273071708924,369.47432672355615,1.3820428073972333,0.9545387820608332,5604.331804888898,6009.3587880001,2663.8816439999573,7848.467016000541,6752.756914499969,7133.877927650019,7673.417949840132,1237.3194383631771,0.2207791189814655,1664.0591618400322,3160.9729465222294,3709.2356589503197,3926.4934623604677,205.8128410111749,303.4265091504039,336.7667246995916,11.859985200034215,39.115264900237875,50.20462633957322,180.1829806404436,723.5665889997106,1047.6263707599358
