id,TP_fp32,FP_fp32,FN_fp32,TN_fp32,precision_fp32,recall_fp32,f1_fp32,iou_fp32,TP_int8,FP_int8,FN_int8,TN_int8,precision_int8,recall_int8,f1_int8,iou_int8,pixels_fp32_int8_diferentes,max_diff_logits,mean_diff_logits,max_diff_prob
ang20191018t183859_r5632_c0_w512_h512,0,23,0,262121,0.0,0.0,0.0,0.0,0,90,0,262054,0.0,0.0,0.0,0.0,67,19.813156127929688,1.3460583686828613,0.466799259185791
ang20191018t190719_r256_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,0,16.545825958251953,1.036420464515686,0.07472532987594604
ang20191018t190719_r3328_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,0,16.10157585144043,1.6703040599822998,0.20839019119739532
ang20191018t190719_r18944_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,0,11.49416732788086,1.1352670192718506,0.01682986319065094
ang20191018t190719_r11776_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,0,10.567228317260742,1.1582564115524292,0.05910658836364746
ang20191021t153008_r3584_c0_w512_h512,0,4541,0,257603,0.0,0.0,0.0,0.0,0,1117,0,261027,0.0,0.0,0.0,0.0,3426,8.947443008422852,0.7974637150764465,0.8541924357414246
ang20191021t153008_r9728_c0_w512_h512,0,37,0,262107,0.0,0.0,0.0,0.0,0,61,0,262083,0.0,0.0,0.0,0.0,24,11.271574974060059,0.7125251293182373,0.31892600655555725
ang20191021t153008_r6400_c0_w512_h512,0,993,0,261151,0.0,0.0,0.0,0.0,0,904,0,261240,0.0,0.0,0.0,0.0,121,10.141469955444336,1.3274810314178467,0.47866371273994446
ang20191021t153008_r1024_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,0,7.648943901062012,1.0725483894348145,0.11538064479827881
ang20191021t154726_r4608_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,15,0,262129,0.0,0.0,0.0,0.0,15,13.481134414672852,0.957743763923645,0.45243752002716064
ang20191021t154726_r4096_c0_w512_h512,0,690,0,261454,0.0,0.0,0.0,0.0,0,597,0,261547,0.0,0.0,0.0,0.0,179,11.576061248779297,1.0558511018753052,0.4937346875667572
ang20191021t154726_r5632_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,3,0,262141,0.0,0.0,0.0,0.0,3,10.643573760986328,1.181387186050415,0.32987576723098755
ang20191021t154726_r7424_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,0,19.822010040283203,0.9624084830284119,0.10473354905843735
ang20191021t160052_r9472_c0_w512_h512,0,32888,188,229068,0.0,0.0,0.0,0.0,0,35317,188,226639,0.0,0.0,0.0,0.0,5009,17.813426971435547,0.7837398648262024,0.7977818250656128
